zip_code,cluster
06089,verde_ftth
06121,gialli
06122,gialli
06123,gialli
06124,gialli
06125,gialli
06126,gialli
06127,gialli
06128,gialli
06129,gialli
06131,gialli
06132,gialli
06133,gialli
06134,gialli
06135,gialli
07010,gialli
07010,rossi
07010,verde_ftth
07010,verde_fwa
07011,rossi
07012,verde_fwa
07013,verde_fwa
07014,verde_fwa
07015,rossi
07016,rossi
07017,verde_fwa
07018,verde_fwa
07019,rossi
07020,gialli
07020,rossi
07020,verde_fwa
07021,gialli
07022,gialli
07023,verde_fwa
07024,gialli
07025,verde_fwa
07026,gialli
07027,verde_fwa
07028,rossi
07029,verde_fwa
07030,gialli
07030,verde_fwa
07031,verde_fwa
07032,verde_fwa
07033,gialli
07034,verde_fwa
07035,verde_fwa
07036,verde_fwa
07037,verde_fwa
07038,verde_fwa
07039,gialli
07040,gialli
07040,rossi
07040,verde_fwa
07041,rossi
07043,verde_fwa
07044,rossi
07045,verde_fwa
07046,rossi
07047,gialli
07048,verde_fwa
07049,verde_fwa
07051,verde_fwa
07052,verde_fwa
07100,gialli
08010,rossi
08011,rossi
08012,rossi
08015,rossi
08016,rossi
08017,rossi
08018,rossi
08020,gialli
08020,rossi
08020,verde_fwa
08021,rossi
08022,verde_fwa
08023,rossi
08024,rossi
08025,verde_fwa
08026,rossi
08027,rossi
08028,verde_fwa
08029,verde_fwa
08030,rossi
08031,rossi
08032,rossi
08036,rossi
08038,rossi
08039,rossi
08040,gialli
08040,rossi
08040,verde_ftth
08040,verde_fwa
08042,rossi
08044,verde_fwa
08045,verde_fwa
08046,rossi
08047,verde_fwa
08048,gialli
08049,verde_fwa
08100,verde_ftth
09010,gialli
09010,rossi
09010,verde_fwa
09011,verde_fwa
09012,verde_ftth
09013,verde_ftth
09014,gialli
09015,verde_fwa
09016,verde_ftth
09017,verde_fwa
09018,verde_fwa
09019,rossi
09020,rossi
09021,rossi
09022,rossi
09023,gialli
09024,rossi
09025,rossi
09026,verde_fwa
09027,rossi
09028,verde_ftth
09029,rossi
09030,gialli
09030,rossi
09031,rossi
09032,verde_ftth
09033,gialli
09034,verde_ftth
09035,rossi
09036,rossi
09037,rossi
09038,rossi
09039,rossi
09040,gialli
09040,rossi
09040,verde_fwa
09041,rossi
09042,verde_ftth
09043,verde_fwa
09044,verde_ftth
09045,gialli
09047,verde_ftth
09048,verde_ftth
09049,verde_fwa
09051,rossi
09052,rossi
09053,rossi
09054,rossi
09055,rossi
09056,rossi
09057,rossi
09058,rossi
09059,rossi
09061,rossi
09062,rossi
09063,rossi
09064,rossi
09065,rossi
09066,rossi
09070,rossi
09071,rossi
09072,rossi
09073,rossi
09074,rossi
09075,rossi
09076,rossi
09077,rossi
09078,rossi
09079,rossi
09080,rossi
09081,rossi
09082,rossi
09083,rossi
09084,rossi
09085,rossi
09086,rossi
09088,rossi
09089,rossi
09090,rossi
09091,rossi
09092,rossi
09093,rossi
09094,rossi
09095,rossi
09096,rossi
09097,rossi
09098,rossi
09099,rossi
09121,gialli
09122,gialli
09123,gialli
09124,gialli
09125,gialli
09126,gialli
09127,gialli
09128,gialli
09129,gialli
09131,gialli
09134,gialli
09170,verde_ftth
10010,gialli
10010,rossi
10010,verde_ftth
10010,verde_fwa
10011,verde_ftth
10012,verde_fwa
10013,verde_ftth
10014,verde_ftth
10015,gialli
10016,verde_fwa
10017,verde_fwa
10018,gialli
10019,verde_ftth
10020,gialli
10020,rossi
10020,verde_ftth
10020,verde_fwa
10022,verde_fwa
10023,verde_ftth
10024,gialli
10025,verde_ftth
10026,gialli
10028,gialli
10029,gialli
10030,gialli
10030,verde_ftth
10031,verde_ftth
10032,verde_fwa
10034,gialli
10035,verde_ftth
10036,gialli
10037,verde_ftth
10038,verde_ftth
10039,verde_ftth
10040,gialli
10040,rossi
10040,verde_ftth
10040,verde_fwa
10041,verde_ftth
10042,gialli
10043,verde_ftth
10044,verde_ftth
10045,rossi
10046,gialli
10046,verde_ftth
10048,verde_fwa
10050,gialli
10050,rossi
10050,verde_ftth
10050,verde_fwa
10051,verde_fwa
10052,verde_fwa
10053,verde_fwa
10054,rossi
10054,verde_fwa
10055,gialli
10056,verde_fwa
10057,verde_fwa
10058,verde_fwa
10059,verde_ftth
10059,verde_fwa
10060,gialli
10060,rossi
10060,verde_ftth
10060,verde_fwa
10061,verde_ftth
10062,verde_fwa
10063,verde_ftth
10064,verde_ftth
10065,gialli
10065,verde_fwa
10066,verde_fwa
10067,verde_fwa
10068,verde_fwa
10069,verde_fwa
10070,gialli
10070,rossi
10070,verde_ftth
10070,verde_fwa
10071,verde_fwa
10072,verde_fwa
10073,rossi
10074,verde_ftth
10075,verde_ftth
10076,gialli
10077,gialli
10078,verde_ftth
10079,verde_fwa
10080,gialli
10080,rossi
10080,verde_ftth
10080,verde_fwa
10081,rossi
10082,gialli
10083,verde_ftth
10084,verde_ftth
10085,verde_ftth
10086,verde_fwa
10087,verde_fwa
10088,verde_fwa
10089,verde_ftth
10090,gialli
10090,rossi
10090,verde_ftth
10090,verde_fwa
10091,verde_fwa
10092,verde_ftth
10093,gialli
10094,gialli
10094,verde_ftth
10095,verde_ftth
10098,gialli
10099,verde_ftth
10121,gialli
10122,gialli
10123,gialli
10124,gialli
10125,gialli
10126,gialli
10127,gialli
10128,gialli
10129,gialli
10131,gialli
10132,gialli
10133,gialli
10134,gialli
10135,gialli
10136,gialli
10137,gialli
10138,gialli
10139,gialli
10141,gialli
10142,gialli
10143,gialli
10144,gialli
10145,gialli
10146,gialli
10147,gialli
10148,gialli
10149,gialli
10151,gialli
10152,gialli
10153,gialli
10154,gialli
10155,gialli
10156,gialli
11010,gialli
11010,rossi
11010,verde_ftth
11010,verde_fwa
11011,verde_ftth
11012,verde_ftth
11013,verde_fwa
11014,gialli
11014,verde_fwa
11015,verde_fwa
11016,verde_fwa
11017,gialli
11018,gialli
11020,gialli
11020,rossi
11020,verde_ftth
11020,verde_fwa
11022,verde_ftth
11023,verde_ftth
11024,verde_ftth
11025,verde_ftth
11026,verde_fwa
11027,verde_fwa
11028,rossi
11029,verde_ftth
11100,verde_ftth
12010,gialli
12010,rossi
12010,verde_ftth
12010,verde_fwa
12011,verde_fwa
12012,gialli
12013,verde_fwa
12014,verde_fwa
12015,verde_fwa
12016,gialli
12017,verde_fwa
12018,gialli
12019,verde_fwa
12020,gialli
12020,rossi
12020,verde_ftth
12020,verde_fwa
12021,rossi
12022,gialli
12023,gialli
12024,verde_ftth
12025,gialli
12025,verde_fwa
12026,verde_fwa
12027,rossi
